0000 - *CLS           *CLS       :*CLS
03A9 - LOADdata       LOAD       [:SOURce<n>]:CAL:LOADdata
03AA - SAVEdata       SAVE       [:SOURce<n>]:CAL:SAVEdata
03AB - ENABle?        ENAB?      [:SOURce<n>]:ENABle?
03AD - DAC16          DAC16      [:TRACe<n>]:DATA:DAC16
03AE - DAC            DAC        [:TRACe<n>]:DATA:DAC
03B0 - INTerpolate    INT        [:TRACe<n>]:DATA:POINts:INTerpolate
03B1 - INTerpolate?   INT?       [:TRACe<n>]:DATA:POINts:INTerpolate?
03B2 - POINts?        POIN?      [:TRACe<n>]:DATA:POINts?
03B3 - VALue          VAL        [:TRACe<n>]:DATA:VALue
03B4 - VALue?         VAL?       [:TRACe<n>]:DATA:VALue?
03B5 - LOAD?          LOAD?      [:TRACe<n>]:DATA:LOAD?
03B6 - STATe          STAT       :LA:STATe
03B7 - STATe?         STAT?      :LA:STATe?
03B8 - ACTive         ACT        :LA:ACTive
03B9 - ACTive?        ACT?       :LA:ACTive?
03BA - DISPlay        DISP       :LA:DISPlay
03BB - DISPlay?       DISP?      :LA:DISPlay?
03BC - AUTosort       AUT        :LA:AUTosort
03BD - SIZE           SIZE       :LA:SIZE
03BE - SIZE?          SIZE?      :LA:SIZE?
03BF - TCALibrate     TCAL       :LA:TCALibrate
03C0 - TCALibrate?    TCAL?      :LA:TCALibrate?
03C1 - DISPlay        DISP       :LA:DIGital<n>:DISPlay
03C2 - DISPlay?       DISP?      :LA:DIGital<n>:DISPlay?
03C3 - POSition       POS        :LA:DIGital<n>:POSition
03C4 - POSition?      POS?       :LA:DIGital<n>:POSition?
03C5 - LABel          LAB        :LA:DIGital<n>:LABel
03C6 - LABel?         LAB?       :LA:DIGital<n>:LABel?
03C7 - DISPlay        DISP       :LA:POD<n>:DISPlay
03C8 - DISPlay?       DISP?      :LA:POD<n>:DISPlay?
03C9 - THReshold      THR        :LA:POD<n>:THReshold
03CA - THReshold?     THR?       :LA:POD<n>:THReshold?
03CB - DAC            DAC        :LA:POD<n>:DAC
03CC - APPend         APP        :LA:GROup<n>:APPend
03CD - STARt          STAR       :LA:CALibrate:STARt
03CE - FINish?        FIN?       :LA:CALibrate:FINish?
03CF - FEND           FEND       :FUNCtion:WRECord:FEND
03D0 - FEND?          FEND?      :FUNCtion:WRECord:FEND?
03D1 - FMAX?          FMAX?      :FUNCtion:WRECord:FMAX?
03D2 - FINTerval      FINT       :FUNCtion:WRECord:FINTerval
03D3 - FINTerval?     FINT?      :FUNCtion:WRECord:FINTerval?
03D4 - PROMpt         PROM       :FUNCtion:WRECord:PROMpt
03D5 - PROMpt?        PROM?      :FUNCtion:WRECord:PROMpt?
03D6 - OPERate        OPER       :FUNCtion:WRECord:OPERate
03D7 - OPERate?       OPER?      :FUNCtion:WRECord:OPERate?
03D8 - ENABle         ENAB       :FUNCtion:WRECord:ENABle
03D9 - ENABle?        ENAB?      :FUNCtion:WRECord:ENABle?
03DA - FSTart         FST        :FUNCtion:WREPlay:FSTart
03DB - FSTart?        FST?       :FUNCtion:WREPlay:FSTart?
03DC - FEND           FEND       :FUNCtion:WREPlay:FEND
03DD - FEND?          FEND?      :FUNCtion:WREPlay:FEND?
03DE - FMAX?          FMAX?      :FUNCtion:WREPlay:FMAX?
03DF - FINTerval      FINT       :FUNCtion:WREPlay:FINTerval
03E0 - FINTerval?     FINT?      :FUNCtion:WREPlay:FINTerval?
03E1 - MODE           MODE       :FUNCtion:WREPlay:MODE
03E2 - MODE?          MODE?      :FUNCtion:WREPlay:MODE?
03E3 - DIRection      DIR        :FUNCtion:WREPlay:DIRection
03E4 - DIRection?     DIR?       :FUNCtion:WREPlay:DIRection?
03E5 - OPERate        OPER       :FUNCtion:WREPlay:OPERate
03E6 - OPERate?       OPER?      :FUNCtion:WREPlay:OPERate?
03E7 - FCURrent       FCUR       :FUNCtion:WREPlay:FCURrent
03E8 - FCURrent?      FCUR?      :FUNCtion:WREPlay:FCURrent?
03E9 - MODE           MODE       :DECoder<n>:MODE
03EA - MODE?          MODE?      :DECoder<n>:MODE?
03EB - DISPlay        DISP       :DECoder<n>:DISPlay
03EC - DISPlay?       DISP?      :DECoder<n>:DISPlay?
03ED - FORMat         FORM       :DECoder<n>:FORMat
03EE - FORMat?        FORM?      :DECoder<n>:FORMat?
03EF - POSition       POS        :DECoder<n>:POSition
03F0 - POSition?      POS?       :DECoder<n>:POSition?
03F1 - CHANnel1       CHAN1      :DECoder<n>:THREshold:CHANnel1
03F2 - CHANnel1?      CHAN1?     :DECoder<n>:THREshold:CHANnel1?
03F3 - CHANnel2       CHAN2      :DECoder<n>:THREshold:CHANnel2
03F4 - CHANnel2?      CHAN2?     :DECoder<n>:THREshold:CHANnel2?
03F5 - CHANnel3       CHAN3      :DECoder<n>:THREshold:CHANnel3
03F6 - CHANnel3?      CHAN3?     :DECoder<n>:THREshold:CHANnel3?
03F7 - CHANnel4       CHAN4      :DECoder<n>:THREshold:CHANnel4
03F8 - CHANnel4?      CHAN4?     :DECoder<n>:THREshold:CHANnel4?
03F9 - AUTO           AUTO       :DECoder<n>:THREshold:AUTO
03FA - AUTO?          AUTO?      :DECoder<n>:THREshold:AUTO?
03FB - LABel          LAB        :DECoder<n>:CONFig:LABel
03FC - LABel?         LAB?       :DECoder<n>:CONFig:LABel?
03FD - LINE           LINE       :DECoder<n>:CONFig:LINE
03FE - LINE?          LINE?      :DECoder<n>:CONFig:LINE?
03FF - FORMat         FORM       :DECoder<n>:CONFig:FORMat
0400 - FORMat?        FORM?      :DECoder<n>:CONFig:FORMat?
0401 - ENDian         END        :DECoder<n>:CONFig:ENDian
0402 - ENDian?        END?       :DECoder<n>:CONFig:ENDian?
0403 - WIDth          WID        :DECoder<n>:CONFig:WIDth
0404 - WIDth?         WID?       :DECoder<n>:CONFig:WIDth?
0405 - SOURce         SOUR       :DECoder<n>:CONFig:SOURce
0406 - SOURce?        SOUR?      :DECoder<n>:CONFig:SOURce?
0407 - RNAGe          RNAG       :DECoder<n>:CONFig:RNAGe
0408 - RANGe?         RANG?      :DECoder<n>:CONFig:RANGe?
0409 - OFFSet         OFFS       :DECoder<n>:CONFig:OFFSet
040A - OFFSet?        OFFS?      :DECoder<n>:CONFig:OFFSet?
040B - SRATe?         SRAT?      :DECoder<n>:CONFig:SRATe?
040C - TX             TX         :DECoder<n>:UART:TX
040D - TX?            TX?        :DECoder<n>:UART:TX?
040E - RX             RX         :DECoder<n>:UART:RX
040F - RX?            RX?        :DECoder<n>:UART:RX?
0410 - POLarity       POL        :DECoder<n>:UART:POLarity
0411 - POLarity?      POL?       :DECoder<n>:UART:POLarity?
0412 - ENDian         END        :DECoder<n>:UART:ENDian
0413 - ENDian?        END?       :DECoder<n>:UART:ENDian?
0414 - BAUD           BAUD       :DECoder<n>:UART:BAUD
0415 - BAUD?          BAUD?      :DECoder<n>:UART:BAUD?
0416 - WIDTh          WIDT       :DECoder<n>:UART:WIDTh
0417 - WIDTh?         WIDT?      :DECoder<n>:UART:WIDTh?
0418 - STOP           STOP       :DECoder<n>:UART:STOP
0419 - STOP?          STOP?      :DECoder<n>:UART:STOP?
041A - PARity         PAR        :DECoder<n>:UART:PARity
041B - PARity?        PAR?       :DECoder<n>:UART:PARity?
041C - PACKage        PACK       :DECoder<n>:UART:PACKage
041D - PACKage?       PACK?      :DECoder<n>:UART:PACKage?
041E - SEParator      SEP        :DECoder<n>:UART:SEParator
041F - SEParator?     SEP?       :DECoder<n>:UART:SEParator?
0420 - CLK            CLK        :DECoder<n>:IIC:CLK
0421 - CLK?           CLK?       :DECoder<n>:IIC:CLK?
0422 - DATA           DATA       :DECoder<n>:IIC:DATA
0423 - DATA?          DATA?      :DECoder<n>:IIC:DATA?
0424 - ADDRess        ADDR       :DECoder<n>:IIC:ADDRess
0425 - ADDRess?       ADDR?      :DECoder<n>:IIC:ADDRess?
0426 - CLK            CLK        :DECoder<n>:SPI:CLK
0427 - CLK?           CLK?       :DECoder<n>:SPI:CLK?
0428 - MISO           MISO       :DECoder<n>:SPI:MISO
0429 - MISO?          MISO?      :DECoder<n>:SPI:MISO?
042A - MOSI           MOSI       :DECoder<n>:SPI:MOSI
042B - MOSI?          MOSI?      :DECoder<n>:SPI:MOSI?
042C - CS             CS         :DECoder<n>:SPI:CS
042D - CS?            CS?        :DECoder<n>:SPI:CS?
042E - SELect         SEL        :DECoder<n>:SPI:SELect
042F - SELect?        SEL?       :DECoder<n>:SPI:SELect?
0430 - MODE           MODE       :DECoder<n>:SPI:MODE
0431 - MODE?          MODE?      :DECoder<n>:SPI:MODE?
0432 - TIMeout        TIM        :DECoder<n>:SPI:TIMeout
0433 - TIMeout?       TIM?       :DECoder<n>:SPI:TIMeout?
0434 - POLarity       POL        :DECoder<n>:SPI:POLarity
0435 - POLarity?      POL?       :DECoder<n>:SPI:POLarity?
0436 - EDGE           EDGE       :DECoder<n>:SPI:EDGE
0437 - EDGE?          EDGE?      :DECoder<n>:SPI:EDGE?
0438 - ENDian         END        :DECoder<n>:SPI:ENDian
0439 - ENDian?        END?       :DECoder<n>:SPI:ENDian?
043A - WIDTh          WIDT       :DECoder<n>:SPI:WIDTh
043B - WIDTh?         WIDT?      :DECoder<n>:SPI:WIDTh?
043C - CLK            CLK        :DECoder<n>:PARallel:CLK
043D - CLK?           CLK?       :DECoder<n>:PARallel:CLK?
043E - EDGE           EDGE       :DECoder<n>:PARallel:EDGE
043F - EDGE?          EDGE?      :DECoder<n>:PARallel:EDGE?
0440 - WIDTh          WIDT       :DECoder<n>:PARallel:WIDTh
0441 - WIDTh?         WIDT?      :DECoder<n>:PARallel:WIDTh?
0442 - BITX           BITX       :DECoder<n>:PARallel:BITX
0443 - BITX?          BITX?      :DECoder<n>:PARallel:BITX?
0444 - SOURce         SOUR       :DECoder<n>:PARallel:SOURce
0445 - SOURce?        SOUR?      :DECoder<n>:PARallel:SOURce?
0446 - POLarity       POL        :DECoder<n>:PARallel:POLarity
0447 - POLarity?      POL?       :DECoder<n>:PARallel:POLarity?
0448 - NREJect        NREJ       :DECoder<n>:PARallel:NREJect
0449 - NREJect?       NREJ?      :DECoder<n>:PARallel:NREJect?
044A - NRTime         NRT        :DECoder<n>:PARallel:NRTime
044B - NRTime?        NRT?       :DECoder<n>:PARallel:NRTime?
044C - CCOMpensation  CCOM       :DECoder<n>:PARallel:CCOMpensation
044D - CCOMpensation? CCOM?      :DECoder<n>:PARallel:CCOMpensation?
044E - PLOT           PLOT       :DECoder<n>:PARallel:PLOT
044F - PLOT?          PLOT?      :DECoder<n>:PARallel:PLOT?
0450 - DISPlay        DISP       :ETABle<n>:DISPlay
0451 - DISPlay?       DISP?      :ETABle<n>:DISPlay?
0452 - FORMat         FORM       :ETABle<n>:FORMat
0453 - FORMat?        FORM?      :ETABle<n>:FORMat?
0454 - VIEW           VIEW       :ETABle<n>:VIEW
0455 - VIEW?          VIEW?      :ETABle<n>:VIEW?
0456 - COLumn         COL        :ETABle<n>:COLumn
0457 - COLumn?        COL?       :ETABle<n>:COLumn?
0458 - ROW            ROW        :ETABle<n>:ROW
0459 - ROW?           ROW?       :ETABle<n>:ROW?
045A - SORT           SORT       :ETABle<n>:SORT
045B - SORT?          SORT?      :ETABle<n>:SORT?
045C - DATA?          DATA?      :ETABle<n>:DATA?
